Date,Open,High,Low,Close,Volume,Adj Close
10/1/02,24.75,27.209999,21.4,25.25,34091600,16.038164
9/3/02,29.5,29.700001,23.51,24.65,31835500,15.657059
8/1/02,32.099998,32.98,28.27,30.15,26539000,19.017427
7/1/02,29.059999,32.200001,23.02,32.200001,39648900,20.310486
6/3/02,31.139999,31.4,27.42,29.049999,29971600,18.323589
5/1/02,31.75,33.450001,30.4,31.139999,23783100,19.519543
4/1/02,37.049999,37.799999,30.15,31.549999,31131400,19.776545
3/1/02,39.099998,41.84,36.830002,37.400002,25796800,23.443512
2/1/02,36.900002,39.650002,34.720001,38.5,25112400,24.133026
1/2/02,40.299999,41.34,34.490002,37.150002,24680100,23.178633
12/3/01,38.400002,41.389999,36.209999,40.080002,23080100,25.006718
11/1/01,36.25,41.779999,36.049999,38.5,16974400,23.914297
10/1/01,37.299999,39.490002,36.040001,36.41,19544800,22.616091
9/4/01,40.900002,42.169998,28.5,37.200001,42638800,23.106802
8/1/01,43,43.529999,39.84,40.900002,16831300,25.290556
7/2/01,48.919998,50.200001,42.990002,43.5,20559200,26.898268
6/1/01,48.990002,52.610001,46.259998,49,29526100,30.201281
5/1/01,48.049999,53.549999,47.509998,49,16915500,30.201281
4/2/01,41.52,50.009998,39.040001,48.529999,22337500,29.911594
3/1/01,45.5,46.599998,36.419998,41.860001,30658800,25.800524
2/1/01,46.5,48.450001,45.02,46.5,20455600,28.557514
1/2/01,46.75,48.75,42.625,45.98,24345500,28.238161
12/1/00,50.875,56.1875,47.1875,47.9375,17054700,29.44034
11/1/00,54.75,55.25,47.9375,49.5625,14524300,30.339558
10/2/00,58,59.9375,49,54.8125,20282300,33.553333
9/1/00,59.25,60.0625,55,57.8125,12225400,35.389774
8/1/00,51.9375,60.5,51.1875,58.625,11558800,35.80381
7/3/00,52.5,54.75,49.5,51.6875,13163300,31.5669
6/1/00,52.0625,54,47.9375,53,12857500,32.283199
5/1/00,159,162,48.75,52.625,14351800,32.054779
4/3/00,155.25,167.937515,143.0625,157.250015,21992900,31.927885
3/1/00,133.5,164.874985,126.249985,155.625,25483700,31.597942
2/1/00,134.25,143.124985,124.937485,132.375,23404600,26.79822
1/3/00,153,154.937485,133.062515,134.000015,22127500,27.12719
12/1/99,130.250015,159.500015,130.062515,154.749985,18000400,31.327848
11/1/99,133.625015,141.312515,128.187515,130.125,13982700,26.274286
10/1/99,117.875015,136.3125,114.624985,135.500015,18647600,27.359587
9/1/99,112.749985,122.499985,111.375,118.562485,15110400,23.939632
8/2/99,108.062485,119.687485,102.5625,112.3125,13061200,22.611515
7/1/99,112.062515,120,108.687515,108.999985,14029900,21.944616
6/1/99,102.125015,113.000015,99.812485,113.000015,14371200,22.67927
5/3/99,105.437485,111.75,100.250015,101.687485,16579100,20.408829
4/1/99,111,117.437485,100.5,105.375,17822500,21.148918
3/1/99,100.125,114.1875,97.562485,110.625,16621500,22.2026
2/1/99,104.937515,104.937515,95.750008,100.3125,15271900,20.061506
1/4/99,101.375015,105,94.062508,104.874985,16400200,20.973959
12/1/98,89.562508,103.937485,86.187508,102,13837000,20.398989
11/2/98,87.624992,94.625008,86.124992,90.375,12963700,18.011894
10/1/98,78.062492,88.937492,69,87.500008,23778900,17.438904
9/1/98,81,84.9375,72.624992,79.562492,24836600,15.856943
8/3/98,88.6875,91.937492,80.000008,80.000008,17736100,15.886555
7/1/98,91.6875,96.875015,88.062508,89.4375,15039600,17.76067
6/1/98,83.375008,92.000008,80.874992,90.875008,13249100,17.986599
5/1/98,85.437508,86.25,81,83.375008,11967700,16.50215
4/1/98,85.749992,89.4375,80.687492,85.187492,12855800,16.860888
3/2/98,77.750008,87.624992,75.249992,86.187508,12859800,17.058819
2/2/98,78.249992,78.9375,76.062508,77.750008,12368300,15.328313
1/2/98,73.3125,77.874992,70.250008,77.499992,14710300,15.279022
12/1/97,74.4375,76.562492,70.3125,73.374992,12147100,14.465784
11/3/97,66.125008,74.750008,65.687492,73.875,13962700,14.502659
10/1/97,68.499992,72,59.000008,64.625008,16429900,12.686761
